Player,Nation,Pos,Squad,Born,MP,Starts,Min,Gls,Ast,PK,PKatt,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,OG,90s
Alex Sandro,br BRA,DF,Flamengo,1991,20,19,1544,0,0,0,0,4,0,0,45,16,1,29,19,7,0,17.2
Alex Santana,br BRA,MF,Corinthians / Grêmio,1995,11,5,495,0,0,0,0,5,0,0,12,11,1,1,5,4,0,5.5
Alex Telles,br BRA,DF,Botafogo–RJ,1992,27,22,1690,5,4,4,4,3,0,0,21,10,1,128,19,14,0,18.8
Alexander Aravena,cl CHI,MF,Grêmio,2002,22,3,581,3,0,0,0,1,0,0,6,11,1,10,0,4,0,6.5
Alexander Barboza,ar ARG,DF,Botafogo–RJ,1995,24,24,2147,0,0,0,0,14,0,0,50,3,2,3,23,39,0,23.9
Alexandro Bernabei,ar ARG,DFMF,Internacional,2000,30,29,2579,0,4,0,0,10,1,1,62,34,3,123,34,46,0,28.7
Alexis Duarte,py PAR,DF,Santos,2000,5,5,405,0,0,0,0,1,0,0,7,4,0,3,3,4,0,4.5
Alexsander,br BRA,MF,Atlético Mineiro,2003,14,8,828,1,0,0,0,3,0,0,19,18,0,5,12,22,0,9.2
Alisson,br BRA,MF,São Paulo,1993,31,21,1960,0,1,0,0,6,0,0,20,32,2,30,14,20,0,21.8
Alix Vinicius,br BRA,DF,RB Bragantino,1999,11,9,862,0,0,0,0,4,0,0,16,7,0,2,10,5,0,9.6
Allan,br BRA,MF,Botafogo–RJ,1991,21,11,965,0,0,0,0,8,0,0,28,11,0,8,7,20,0,10.7
Allan,br BRA,MF,Flamengo,1997,13,9,683,0,0,0,0,2,0,0,18,7,0,0,6,4,0,7.6
Allan,br BRA,MF,Palmeiras,2004,28,8,921,2,3,0,0,0,1,0,14,12,1,15,9,20,0,10.2
Allanzinho,br BRA,MF,Fortaleza,2000,9,2,287,0,2,0,0,1,0,0,6,11,1,15,2,2,0,3.2
Alysson,br BRA,MFFW,Grêmio,2006,31,21,1718,1,2,0,0,6,0,0,25,64,3,33,17,24,0,19.1
Andre Martins,br BRA,FW,Grêmio,2001,25,6,793,5,2,0,0,3,0,0,13,15,2,1,3,10,0,8.8
Andreas Pereira,br BRA,MF,Palmeiras,1996,15,11,1005,2,0,0,0,4,1,0,17,14,0,87,6,7,0,11.2
André,br BRA,MF,Corinthians,2006,9,1,315,2,0,0,0,0,0,0,8,9,0,0,2,7,0,3.5
André Carrillo,pe PER,MF,Corinthians,1991,22,16,1279,1,0,0,0,3,0,0,31,14,2,30,13,12,0,14.2
André Filipinho,br BRA,DF,Juventude,1997,5,3,303,0,0,0,0,1,0,0,11,1,2,9,7,1,0,3.4
André Ramalho,br BRA,DF,Corinthians,1992,21,20,1780,0,0,0,0,4,0,0,19,10,0,4,20,17,0,19.8
André Silva,br BRA,FW,São Paulo,1997,20,15,1357,5,2,1,1,5,0,0,22,22,7,11,10,5,0,15.1
Andrés Gómez,co COL,MF,Vasco da Gama,2002,16,10,1028,1,5,0,0,1,0,0,17,19,2,31,7,10,0,11.4
Anthoni,br BRA,GK,Internacional,2002,18,16,1530,0,0,0,0,0,0,0,0,2,0,0,0,0,1,17.0
Antonio Carlos,br BRA,DF,Sport Recife,1993,3,3,270,0,0,0,0,0,0,0,3,1,0,0,1,2,0,3.0
Antonio Galeano,py PAR,MF,Ceará,2000,38,38,3125,7,3,0,0,2,0,0,25,71,19,72,10,19,0,34.7
Aníbal Moreno,ar ARG,MF,Palmeiras,1999,28,19,1805,0,1,0,0,9,0,0,22,10,0,13,28,31,0,20.1
Arthur,br BRA,FW,Sport Recife,2003,6,1,200,0,0,0,0,0,0,0,3,7,0,0,1,0,0,2.2
Arthur Cabral,br BRA,FW,Botafogo–RJ,1998,21,16,1439,4,2,0,0,1,0,0,33,28,5,1,2,7,0,16.0
Arthur Melo,br BRA,MF,Grêmio,1996,13,13,1082,0,0,0,0,3,1,0,17,41,1,6,6,18,0,12.0
Artur,br BRA,MF,Botafogo–RJ,1998,28,22,1917,5,4,0,0,3,0,0,19,30,3,58,12,13,0,21.3
Aylon,br BRA,MFFW,Ceará,1992,23,8,792,2,0,0,0,3,0,0,24,22,2,8,1,11,0,8.8
Ayrton Lucas,br BRA,DF,Flamengo,1997,18,13,1231,2,0,0,0,5,0,0,23,20,0,38,9,28,0,13.7
Benjamín Garré,ar ARG,MF,Vasco da Gama,2000,10,3,293,0,0,0,0,1,0,0,7,3,0,16,3,3,0,3.3
Benjamín Kuscevic,cl CHI,DF,Fortaleza,1996,20,19,1707,1,0,0,0,3,1,0,23,4,0,2,16,24,0,19.0
Benjamín Rollheiser,ar ARG,MFFW,Santos,2000,36,27,2212,2,3,1,1,7,0,0,34,36,3,93,4,16,0,24.6
Bernard,br BRA,MFFW,Atlético Mineiro,1992,30,12,1210,1,1,0,0,4,0,0,25,13,2,53,7,15,0,13.4
Biel,br BRA,MFFW,Atlético Mineiro,2001,17,6,595,1,2,0,0,1,0,0,5,16,0,10,4,3,0,6.6
Braian Aguirre,ar ARG,DFMF,Internacional,2000,30,28,2389,1,0,0,0,4,0,0,44,6,3,80,31,44,0,26.5
Brenno,br BRA,GK,Fortaleza,1999,15,15,1350,0,0,0,0,2,1,0,0,4,0,0,0,0,0,15.0
Breno,br BRA,MF,Corinthians,2005,33,31,2522,1,1,0,0,10,1,1,66,83,1,23,19,28,0,28.0
