Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches,-9999
119,Aitor Cantalapiedra,es ESP,MFFW,Vitória,28,1996,19,18,1275,14.2,3,3,6,3,0,0,2,0,0.21,0.21,0.42,0.21,0.42,Matches,21a260a8
120,Juninho Capixaba,br BRA,DFMF,RB Bragantino,27,1997,24,22,1972,21.9,1,1,2,1,0,0,4,0,0.05,0.05,0.09,0.05,0.09,Matches,91ba7336
121,Johan Carbonero,co COL,MFFW,Internacional,25,1999,23,15,1457,16.2,5,2,7,4,1,1,6,1,0.31,0.12,0.43,0.25,0.37,Matches,9eca9710
122,Felipe Cardoso,br BRA,MF,Vitória,21,2003,3,0,78,0.9,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,5a9b1b3b
123,Edson Carioca,br BRA,FWMF,Mirassol,27,1997,21,16,1168,13.0,4,2,6,4,0,0,1,0,0.31,0.15,0.46,0.31,0.46,Matches,14c679d6
124,Igor Cariús,br BRA,DFMF,Sport Recife,31,1993,28,21,1726,19.2,1,0,1,1,0,0,3,0,0.05,0.00,0.05,0.05,0.05,Matches,662475de
125,Carlinhos,br BRA,FW,Vitória,27,1997,6,1,165,1.8,1,0,1,1,0,0,2,1,0.55,0.00,0.55,0.55,0.55,Matches,37fe7c99
126,Antonio Carlos,br BRA,DF,Sport Recife,31,1993,3,3,270,3.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,949fe1e8
127,Jean Carlos Vicente,br BRA,MF,Juventude,32,1992,7,2,203,2.3,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,db4b7637
128,Ruan Carneiro,br BRA,GK,Juventude,34,1990,4,4,360,4.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,8c3efb53
129,Jorge Carrascal,co COL,MF,Flamengo,26,1998,16,11,821,9.1,2,5,7,2,0,0,4,0,0.22,0.55,0.77,0.22,0.77,Matches,3f9f0d62
130,André Carrillo,pe PER,MF,Corinthians,33,1991,22,16,1279,14.2,1,0,1,1,0,0,3,0,0.07,0.00,0.07,0.07,0.07,Matches,7527558b
131,Gabriel Carvalho,br BRA,MF,Internacional,17,2007,3,0,72,0.8,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,0f335ab2
132,Cássio,br BRA,GK,Cruzeiro,37,1987,35,35,3086,34.3,0,0,0,0,0,0,6,0,0.00,0.00,0.00,0.00,0.00,Matches,d42f6326
133,Iury de Castilho,br BRA,FWMF,Mirassol,29,1995,9,6,499,5.5,1,0,1,1,0,0,2,0,0.18,0.00,0.18,0.18,0.18,Matches,555311f2
134,Caue,br BRA,DF,RB Bragantino,18,2006,2,0,41,0.5,0,1,1,0,0,0,0,0,0.00,2.20,2.20,0.00,2.20,Matches,b8f62eb5
135,Murilo Cerqueira,br BRA,DF,Palmeiras,27,1997,20,20,1660,18.4,1,1,2,1,0,0,6,0,0.05,0.05,0.11,0.05,0.11,Matches,10fe831e
136,Julio Cesar,br BRA,DF,Fluminense,18,2006,3,2,176,2.0,0,1,1,0,0,0,0,0,0.00,0.51,0.51,0.00,0.51,Matches,94325798
137,Kayky Chagas,br BRA,MF,Bahia,21,2003,26,8,890,9.9,1,2,3,1,0,0,2,0,0.10,0.20,0.30,0.10,0.30,Matches,17734ea0
