Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG
138,Gabriel Chapecó,br BRA,GK,Grêmio,24,2000,6,6,540,6.0,0,0,0,0,0,0,2,1,1,0,3,0,0,0,0,,,0
139,Chico,br BRA,DF,Sport Recife,26,1998,13,12,1060,11.8,0,0,0,0,0,0,1,0,0,9,5,0,1,11,12,,,0
140,Chico,br BRA,MF,Mirassol,33,1991,13,2,349,3.9,1,1,2,1,0,0,1,0,0,8,15,0,7,5,8,,,0
141,Christian,br BRA,MF,Cruzeiro,24,2000,30,29,2357,26.2,5,2,7,5,0,0,9,0,0,44,48,8,30,21,23,,,0
142,Cipriano,br BRA,DF,Juventude,22,2002,3,3,189,2.1,0,0,0,0,0,0,1,1,0,3,0,0,0,3,1,,,0
143,Claudinho,br BRA,DFMF,Vitória,24,2000,15,9,901,10.0,0,0,0,0,0,0,5,0,0,10,8,0,47,10,10,,,0
144,Clayson,br BRA,MF,Mirassol,29,1995,6,3,256,2.8,0,1,1,0,0,0,2,0,0,3,8,2,22,0,1,,,0
145,Clayton,br BRA,DF,Internacional,24,2000,11,8,762,8.5,0,0,0,0,0,0,2,0,0,14,1,0,2,11,6,,,0
146,Cleiton,br BRA,DF,Flamengo,21,2003,2,0,79,0.9,0,0,0,0,0,0,0,0,0,1,2,0,0,2,2,,,0
147,Mateus Cocão,br BRA,MF,Vasco da Gama,22,2002,19,5,593,6.6,0,0,0,0,0,0,1,0,0,15,5,0,1,11,9,,,0
148,Igor Coronado,br BRA,MF,Corinthians,32,1992,6,3,342,3.8,1,0,1,1,0,0,1,0,0,7,5,0,28,4,1,,,0
149,Joaquín Correa,ar ARG,MFFW,Botafogo–RJ,30,1994,18,10,898,10.0,2,0,2,2,0,0,2,0,0,13,21,2,18,2,6,,,0
150,Francisco da Costa,br BRA,FW,Mirassol,29,1995,20,13,1190,13.2,6,0,6,6,0,0,3,0,0,15,18,10,2,2,0,,,0
151,Philippe Coutinho,br BRA,MF,Vasco da Gama,32,1992,30,30,2403,26.7,5,3,8,5,0,0,3,1,0,22,40,3,134,7,10,,,0
152,Lucas Crispim,br BRA,MF,Fortaleza,30,1994,10,5,424,4.7,1,1,2,1,0,0,0,0,0,8,15,1,17,2,0,,,0
153,Franco Cristaldo,ar ARG,MF,Grêmio,28,1996,30,11,1259,14.0,1,3,4,1,0,0,1,0,0,10,31,1,70,4,14,,,0
154,Gustavo Cuellar,co COL,MF,Grêmio,32,1992,17,10,881,9.8,0,0,0,0,0,0,3,0,0,17,14,0,3,15,23,,,0
155,Tomás Cuello,ar ARG,MFFW,Atlético Mineiro,24,2000,16,14,1203,13.4,1,1,2,1,0,0,3,1,0,18,28,1,33,7,16,,,0
156,Carlos Cuesta,co COL,DF,Vasco da Gama,25,1999,13,12,1092,12.1,1,0,1,1,0,0,3,0,0,17,3,1,7,10,11,,,0
157,Cuiabano,br BRA,DFMF,Botafogo–RJ,21,2003,30,15,1534,17.0,5,2,7,5,0,0,4,0,0,32,19,1,59,19,25,,,0
158,Jair Cunha,br BRA,DF,Botafogo–RJ,19,2005,11,11,990,11.0,0,1,1,0,0,0,0,0,0,4,8,0,2,9,12,,,0
159,Lucas Cunha,br BRA,DF,Sport Recife,28,1997,6,5,428,4.8,0,0,0,0,0,0,1,0,0,5,2,0,0,6,2,,,0
160,Danielzinho,br BRA,MF,Mirassol,30,1994,37,37,3265,36.3,0,2,2,0,0,0,4,0,0,34,74,3,85,23,41,,,0
161,Danilo,br BRA,DF,Flamengo,33,1991,20,14,1410,15.7,1,1,2,1,0,0,2,1,0,15,6,0,14,13,8,,,0
162,David,br BRA,MFFW,Vasco da Gama,29,1995,24,5,750,8.3,2,3,5,2,0,0,3,1,0,13,5,2,6,5,6,,,0
163,Matheus Davó,br BRA,FW,Mirassol,25,1999,2,0,35,0.4,0,1,1,0,0,0,0,0,0,0,1,0,1,0,0,,,0
164,Nicolás De La Cruz,uy URU,MF,Flamengo,27,1997,19,12,1018,11.3,0,0,0,0,0,0,4,0,0,17,33,0,28,9,15,,,0
165,Gabriel Delfim,br BRA,GK,Atlético Mineiro,22,2002,2,2,180,2.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0
166,Deyverson,br BRA,FW,Fortaleza,33,1991,27,12,1174,13.0,7,0,7,6,1,1,4,0,0,20,25,7,7,5,6,,,0
167,Enzo Díaz,ar ARG,MFDF,São Paulo,29,1995,27,20,1877,20.9,0,5,5,0,0,0,10,0,0,51,36,1,111,20,50,,,0
168,Lautaro Díaz,ar ARG,FW,Santos,26,1998,15,12,1020,11.3,3,2,5,3,0,0,2,0,0,17,9,5,7,3,2,,,0
169,Lautaro Díaz,ar ARG,FW,Cruzeiro,26,1998,6,0,85,0.9,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,,,0
170,Dieguinho Diego,br BRA,MF,Ceará,29,1995,32,31,2653,29.5,0,2,2,0,0,0,5,0,0,26,66,0,10,34,30,,,0
171,Dieguinho,br BRA,MFFW,Corinthians,17,2007,13,4,451,5.0,0,1,1,0,0,0,0,0,0,2,10,0,23,2,4,,,0
172,Diogenes,br BRA,GK,Santos,24,2001,1,0,23,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0
173,Dodi,br BRA,MF,Grêmio,28,1996,32,26,2343,26.0,0,1,1,0,0,0,9,1,0,43,37,0,3,30,29,,,0
174,Fabricio Domínguez,uy URU,MF,Sport Recife,26,1998,4,1,100,1.1,0,0,0,0,0,0,1,0,0,2,5,0,5,0,0,,,0
175,Matheus Donelli,br BRA,GK,Corinthians,22,2002,5,5,450,5.0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,,,0
176,Thiago dos Santos,br BRA,MFDF,Fluminense,35,1989,10,3,287,3.2,0,0,0,0,0,0,2,0,0,10,3,0,0,3,8,,,0
