Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG
118,Agustín Canobbio,uy URU,MF,Fluminense,26,1998,30,27,2108,23.4,4,2,6,3,1,1,6,0,0,44,53,6,72,13,31,,,0
119,Aitor Cantalapiedra,es ESP,MFFW,Vitória,28,1996,19,18,1275,14.2,3,3,6,3,0,0,2,0,0,5,16,3,87,4,8,,,0
120,Juninho Capixaba,br BRA,DFMF,RB Bragantino,27,1997,24,22,1972,21.9,1,1,2,1,0,0,4,0,0,33,41,3,53,21,34,,,0
121,Johan Carbonero,co COL,MFFW,Internacional,25,1999,23,15,1457,16.2,5,2,7,4,1,1,6,1,0,32,60,14,22,2,8,,,0
122,Felipe Cardoso,br BRA,MF,Vitória,21,2003,3,0,78,0.9,0,0,0,0,0,0,0,0,0,1,1,0,3,0,1,,,0
123,Edson Carioca,br BRA,FWMF,Mirassol,27,1997,21,16,1168,13.0,4,2,6,4,0,0,1,0,0,29,14,2,15,7,17,,,0
124,Igor Cariús,br BRA,DFMF,Sport Recife,31,1993,28,21,1726,19.2,1,0,1,1,0,0,3,0,0,28,29,7,35,27,30,,,1
125,Carlinhos,br BRA,FW,Vitória,27,1997,6,1,165,1.8,1,0,1,1,0,0,2,1,0,9,1,3,0,2,1,,,0
126,Antonio Carlos,br BRA,DF,Sport Recife,31,1993,3,3,270,3.0,0,0,0,0,0,0,0,0,0,3,1,0,0,1,2,,,0
127,Jean Carlos Vicente,br BRA,MF,Juventude,32,1992,7,2,203,2.3,0,0,0,0,0,0,1,0,0,3,2,3,16,0,3,,,0
128,Ruan Carneiro,br BRA,GK,Juventude,34,1990,4,4,360,4.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0
129,Jorge Carrascal,co COL,MF,Flamengo,26,1998,16,11,821,9.1,2,5,7,2,0,0,4,0,0,21,20,0,44,5,17,,,0
130,André Carrillo,pe PER,MF,Corinthians,33,1991,22,16,1279,14.2,1,0,1,1,0,0,3,0,0,31,14,2,30,13,12,,,0
131,Gabriel Carvalho,br BRA,MF,Internacional,17,2007,3,0,72,0.8,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,,,0
132,Cássio,br BRA,GK,Cruzeiro,37,1987,35,35,3086,34.3,0,0,0,0,0,0,6,0,0,0,9,0,0,0,0,,,0
133,Iury de Castilho,br BRA,FWMF,Mirassol,29,1995,9,6,499,5.5,1,0,1,1,0,0,2,0,0,7,18,6,4,2,6,,,0
134,Caue,br BRA,DF,RB Bragantino,18,2006,2,0,41,0.5,0,1,1,0,0,0,0,0,0,0,0,0,1,1,1,,,0
135,Murilo Cerqueira,br BRA,DF,Palmeiras,27,1997,20,20,1660,18.4,1,1,2,1,0,0,6,0,0,29,6,0,9,15,19,,,0
136,Julio Cesar,br BRA,DF,Fluminense,18,2006,3,2,176,2.0,0,1,1,0,0,0,0,0,0,2,7,0,9,4,2,,,0
137,Kayky Chagas,br BRA,MF,Bahia,21,2003,26,8,890,9.9,1,2,3,1,0,0,2,0,0,7,13,2,11,5,12,,,0
