Rk,Player,Nation,Pos,Squad,Age,Born,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Matches,-9999
487,Neris,br BRA,DF,Vitória,32,1992,5.9,1,1,0,14,4,2,0,6,2,,,0,Matches,f961d4c2
488,Rodrigo Nestor,br BRA,MFFW,Bahia,24,2000,9.7,5,0,0,18,17,2,33,4,16,,,0,Matches,c04ebe99
489,Neto,br BRA,GK,Botafogo–RJ,35,1989,2.5,0,0,0,0,0,0,0,0,0,,,0,Matches,a9dc785c
490,Newton,br BRA,MF,Botafogo–RJ,24,2000,16.6,5,0,0,43,8,1,7,19,21,,,0,Matches,0c0c8329
491,Neymar,br BRA,FWMF,Santos,32,1992,17.0,8,1,1,21,68,4,66,3,2,,,0,Matches,69384e5d
492,Nicolas,br BRA,DF,Ceará,27,1997,6.6,1,0,0,10,9,0,45,7,5,,,0,Matches,0739a5da
493,Nicolas,br BRA,DF,São Paulo,17,2007,0.5,0,0,0,1,2,0,0,2,2,,,0,Matches,3988393d
494,Saúl Ñíguez,es ESP,MF,Flamengo,30,1994,12.8,3,0,0,30,5,0,11,17,24,,,0,Matches,c14bc029
495,Nonato,br BRA,MF,Fluminense,26,1998,10.2,4,0,0,19,15,0,4,9,15,,,0,Matches,b91a6912
496,Erick Noriega,pe PER,DFMF,Grêmio,23,2001,13.2,3,0,0,16,10,0,3,12,7,,,0,Matches,fd8ce644
497,Lucas Oliveira,br BRA,DF,Vasco da Gama,28,1996,2.9,1,0,0,3,1,0,0,11,4,,,0,Matches,96d8b3d1
498,Sérgio Oliveira,pt POR,MF,Sport Recife,32,1992,11.1,5,0,0,16,12,0,59,5,19,,,0,Matches,947e036f
499,Cauly Oliveira Souza,br BRA,FWMF,Bahia,29,1995,10.1,2,0,0,12,9,0,23,6,4,,,0,Matches,2b53f7a5
500,Cristian Olivera,uy URU,MFFW,Grêmio,22,2002,14.3,3,0,0,25,33,3,33,3,24,,,0,Matches,079dc403
501,Christian Ortiz,ar ARG,FWMF,Sport Recife,32,1992,2.0,0,0,0,4,1,1,5,2,2,,,0,Matches,bd8ddbd6
502,Leo Ortiz,br BRA,DF,Flamengo,29,1996,24.5,4,0,0,19,5,1,5,18,20,,,0,Matches,53834fa2
503,Oscar,br BRA,MFFW,São Paulo,33,1991,3.8,1,0,0,3,3,0,26,7,2,,,0,Matches,57fe98dd
504,Osvaldo,br BRA,MF,Vitória,37,1987,11.1,3,0,0,6,20,3,68,8,5,,,0,Matches,deb6b945
505,Otávio,br BRA,MF,Fluminense,30,1994,2.4,0,0,0,5,8,0,1,5,2,,,0,Matches,243f4a0b
506,Luis Otávio,br BRA,MF,Internacional,17,2007,8.6,2,0,0,7,17,1,0,11,21,,,0,Matches,1ffa6688
507,Luiz Otávio,br BRA,DF,Mirassol,32,1992,1.8,1,0,0,3,0,0,0,2,0,,,0,Matches,35e4fc3a
508,João Othavio Basso,br BRA,DF,Santos,28,1997,5.8,2,0,0,10,6,0,0,5,4,,,0,Matches,86c79c42
509,Pablo,br BRA,DF,Internacional,18,2006,0.2,0,0,0,2,1,0,0,0,1,,,0,Matches,3933b8fc
510,Pablo,br BRA,FW,Sport Recife,32,1992,11.7,1,0,0,17,19,8,3,2,6,,,0,Matches,1ad394c5
511,Ruan Pablo,br BRA,FW,Bahia,16,2008,0.6,1,0,0,1,1,0,2,0,1,,,0,Matches,a3bbbdc7
512,Bruno Pacheco,br BRA,DF,Fortaleza,33,1991,14.0,5,0,0,16,27,1,16,12,20,,,1,Matches,9b7976e6
513,Luis Pacheco,br BRA,MF,Palmeiras,16,2008,0.2,1,0,0,2,0,0,0,0,0,,,0,Matches,ffba37be
514,Gonçalo Paciência,pt POR,FW,Sport Recife,30,1994,2.2,0,0,0,3,3,0,0,0,0,,,0,Matches,962e54cb
515,Brahian Palacios,co COL,MF,Atlético Mineiro,22,2002,0.1,0,0,0,0,0,0,0,0,0,,,0,Matches,61a05353
516,Sergio Palacios,co COL,DF,RB Bragantino,19,2005,0.8,2,0,0,3,1,0,0,0,0,,,0,Matches,e47c977a
517,Kaio Pantaleão,br BRA,DF,Botafogo–RJ,29,1995,10.4,2,1,1,12,10,1,1,17,8,,,0,Matches,a9be27f2
518,Rayan Passaglia Lelis,br BRA,MF,Cruzeiro,18,2007,0.7,1,0,0,2,0,1,1,1,1,,,0,Matches,199a71d2
519,Alan Patrick,br BRA,MFFW,Internacional,33,1991,27.8,6,0,0,26,44,6,138,4,19,,,0,Matches,00672021
520,Patryck,br BRA,MFDF,São Paulo,22,2003,3.4,1,0,0,4,3,0,20,3,3,,,0,Matches,8dcbd7af
521,Patrick de Paula,br BRA,MF,Botafogo–RJ,25,1999,3.2,0,0,0,4,5,0,2,4,3,,,0,Matches,9f12fbb7
522,Paulinho,br BRA,MF,Palmeiras,24,2000,2.5,0,0,0,1,2,1,5,0,1,,,0,Matches,53070b63
523,Paulinho,br BRA,MF,Vasco da Gama,28,1997,3.4,2,0,0,13,11,0,4,3,3,,,0,Matches,2d215840
524,Caio Paulista,br BRA,MFDF,Atlético Mineiro,26,1998,9.8,2,0,0,13,7,1,23,10,9,,,0,Matches,701bb051
525,Marcos Paulo,br BRA,DF,Juventude,22,2003,15.2,8,1,1,27,5,1,0,11,16,,,1,Matches,4dd6bb79
526,Cristian Pavón,ar ARG,MF,Grêmio,29,1996,15.3,6,0,0,12,17,3,93,18,18,,,0,Matches,a664b026
527,Dimitri Payet,fr FRA,MF,Vasco da Gama,37,1987,2.1,0,0,0,2,7,0,13,2,3,,,0,Matches,58ae47b2
528,Pedrinho,br BRA,MF,São Paulo,17,2007,0.3,0,0,0,0,0,0,1,0,0,,,0,Matches,10eb3647
529,Pedro,br BRA,FW,Flamengo,27,1997,11.6,3,0,0,14,18,2,4,6,6,,,0,Matches,1ab6fad3
530,João Pedro Chermont,br BRA,DF,Santos,19,2006,2.8,3,0,0,9,1,2,12,3,8,,,0,Matches,e987e031
531,João Pedro,br BRA,DF,Corinthians,21,2003,13.8,4,0,0,18,5,0,1,12,15,,,0,Matches,cd51f56f
532,João Pedro,br BRA,DF,Grêmio,28,1996,5.0,0,0,0,8,1,1,8,3,7,,,0,Matches,31d1ed52
533,João Pedro Pepê,br BRA,MF,Vitória,27,1998,7.3,3,1,0,22,19,0,11,9,16,,,0,Matches,d75471eb
534,Peixoto,br BRA,MFDF,Juventude,27,1997,8.1,1,0,0,22,9,0,7,9,11,,,0,Matches,9d060c89
535,Andreas Pereira,br BRA,MF,Palmeiras,29,1996,11.2,4,1,0,17,14,0,87,6,7,,,0,Matches,6639e500
536,Léo Pereira,br BRA,DF,Flamengo,29,1996,32.8,6,0,0,22,13,0,14,27,17,,,0,Matches,bd247251
537,Matheus Pereira,br BRA,MF,Cruzeiro,28,1996,31.0,7,0,0,35,111,7,175,14,32,,,0,Matches,b04ee927
538,Luan Peres Petroni,br BRA,DF,Santos,30,1994,22.8,6,0,0,29,14,1,7,23,16,,,0,Matches,a5549ec1
539,Pernambuco,br BRA,MF,Juventude,26,1998,0.6,0,0,0,0,1,0,1,0,3,,,0,Matches,ec61b68f
540,Petterson,br BRA,MF,Juventude,21,2004,0.9,0,0,0,0,0,0,2,1,0,,,0,Matches,9943597e
541,Pierre,br BRA,MF,Fortaleza,22,2002,9.3,2,0,0,13,8,0,24,16,11,,,0,Matches,064cd740
542,Yago Pikachu,br BRA,MFFW,Fortaleza,32,1992,15.4,2,0,0,16,21,4,61,4,7,,,0,Matches,462f1e13
